,TradingDate,TradingOpen,TradingClose,TradingHigh,TradingLow,TradingVolume,TradingMarketCap,OverallSentiment,CoinID
10899,2019-03-12 23:59:59,55.4130177548,56.9970550964,57.2631469616,53.4956530838,1666711996.13802,3468475221.92871,-1,1996
10900,2019-03-13 23:59:59,57.0756628527,55.9331843325,57.2101890215,55.433733364,1465625295.04307,3404536113.25013,0,1996
10901,2019-03-14 23:59:59,55.8600129298,56.5841836666,57.7561112967,55.785193854,1610293200.21098,3445001358.225,0,1996
10902,2019-03-15 23:59:59,56.5416375549,58.9892592824,59.3861924579,56.5416375549,1824454594.98776,3592290246.49035,1,1996
10903,2019-03-16 23:59:59,58.9941325727,61.844752484,62.0934482972,58.9941325727,1997899601.09467,3767063535.94054,1,1996
10904,2019-03-17 23:59:59,61.8814918807,61.2437802555,61.9896410978,60.7825387335,1609232029.40373,3731425000.77049,0,1996
10905,2019-03-18 23:59:59,61.2842841708,60.2648064825,62.7706479188,59.5024298351,1971826810.50953,3672726326.94789,-1,1996
10906,2019-03-19 23:59:59,60.2242971382,60.6155682346,60.9471727039,59.7523186309,1824124622.94149,3694945404.67972,1,1996
10907,2019-03-20 23:59:59,60.6779154046,60.8465471051,60.9570481396,58.5693977456,1990264182.04413,3709898340.06794,1,1996
10908,2019-03-21 23:59:59,60.8674933201,59.3783248641,61.0823303056,58.7395426758,1766689848.00624,3621232357.78006,1,1996
10909,2019-03-22 23:59:59,59.3026111053,59.8240014006,60.284577362,58.887696393,1660894829.82952,3649353013.15833,0,1996
10910,2019-03-23 23:59:59,59.7915311641,61.3486151925,61.7070026918,59.5078077043,2009701790.1926,3743278483.72917,-1,1996
10911,2019-03-24 23:59:59,61.2429180449,60.2238766743,61.2472832933,59.7132208832,2041814465.1505,3675521098.02921,1,1996
10912,2019-03-25 23:59:59,60.3026795345,59.4967372873,60.9265527675,58.9999094525,2057863893.58931,3632066768.95044,0,1996
10913,2019-03-26 23:59:59,59.5083075953,59.3435287366,59.6530056533,58.3349365863,2020400712.53029,3623575889.98503,0,1996
10914,2019-03-27 23:59:59,59.4078993345,62.2514288897,62.2880810731,59.3252357608,2220590688.22659,3802058092.07571,0,1996
10915,2019-03-28 23:59:59,62.2224562709,61.1704861142,62.2224562709,60.7455648492,1818355774.36926,3737005101.54588,1,1996
10916,2019-03-29 23:59:59,61.1675962176,61.3016125981,61.5323429675,60.2597777017,1977436351.12851,3745935357.22335,-1,1996
10917,2019-03-30 23:59:59,61.2540964664,60.6219622335,64.1090073392,60.3650643039,1698116592.70109,3705312023.33855,1,1996
10918,2019-03-31 23:59:59,60.6384818447,60.7553978572,60.8503181857,60.212364442,1646531871.86134,3714371560.23227,1,1996
10919,2019-04-01 23:59:59,60.7698366061,60.6779939756,60.9851720316,60.4138903026,1712538381.52761,3710564698.27876,-1,1996
10920,2019-04-02 23:59:59,60.7047059348,76.1932596939,77.4117296696,60.5377782878,4161362861.41264,4660552087.71317,-1,1996
10921,2019-04-03 23:59:59,76.2562988737,84.9219378767,97.4952564658,76.0096458602,6206102118.69064,5195750178.10245,1,1996
10922,2019-04-04 23:59:59,85.1739312234,84.9809052844,89.3383879173,81.5686363146,4195622761.03396,5200609304.87696,1,1996
10923,2019-04-05 23:59:59,85.0379499848,88.6778605953,89.5820137893,84.9232822548,3512861847.24127,5428143570.74244,-1,1996
10924,2019-04-06 23:59:59,88.7077740435,92.573417164,96.7413569687,86.3123835042,3857950928.59527,5667977475.93086,-1,1996
